Date,Period,Dublin,Non_Dublin,GDA_excl_Dublin,Outside_GDA,Unemployment_Rate,RPPI,Year,Monthly_Income,Affordability_Dublin,Affordability_National,RPZ_Active
2007-07-01,Q3 2007,1236.2954982429892,802.4199535101424,999.3041788423529,773.2975151481186,,162.96666666666667,2007,,,,0
2007-10-01,Q4 2007,1300.9820556640625,799.6323852539062,1024.6016845703125,765.641357421875,,162.03333333333333,2007,,,,0
2008-01-01,Q1 2008,1293.199534241895,803.2709696197177,994.3201284575371,768.4794777290826,,158.63333333333333,2008,,,,0
2008-04-01,Q2 2008,1289.3257492220375,804.935462682802,1001.3047871414673,769.7639106598745,,154.26666666666665,2008,,,,0
2008-07-01,Q3 2008,1190.197674924059,756.900726101511,960.120901532517,725.7197044860224,,150.13333333333335,2008,,,,0
2008-10-01,Q4 2008,1192.580452256981,757.052121385755,935.479484629918,725.8648629422812,,142.46666666666667,2008,,,,0
2009-01-01,Q1 2009,1118.6464265596665,727.5131712002426,884.532463540166,696.9152830844416,,132.46666666666667,2009,,,,0
2009-04-01,Q2 2009,1065.154018174779,701.7885189794396,833.0213029660309,674.292409151103,,123.36666666666667,2009,,,,0
2009-07-01,Q3 2009,1032.6408021842253,676.2968478024421,816.6080327239366,653.0566365088827,,118.23333333333333,2009,,,,0
2009-10-01,Q4 2009,991.1587227090824,653.0358992359572,772.8300877996592,629.3350956349316,,115.5,2009,,,,0
2010-01-01,Q1 2010,977.379182438141,645.8918685486394,754.6991670665736,624.3204999968859,,111.53333333333335,2010,,,,0
2010-04-01,Q2 2010,980.3157225932835,648.4806100541905,764.4519834613371,623.6964915531116,,107.73333333333333,2010,,,,0
2010-07-01,Q3 2010,993.1430237941519,640.104922052769,770.4380241417938,618.1084072281144,,104.56666666666666,2010,,,,0
2010-10-01,Q4 2010,978.3570504731076,631.2058917068061,755.5449036577717,607.0819913525098,,100.0,2010,,,,0
2011-01-01,Q1 2011,969.5913418759898,623.053321635122,743.5672524144871,597.4459732035712,,95.46666666666665,2011,,,,0
2011-04-01,Q2 2011,984.2448384766033,626.802878988327,749.2848480021644,601.0414246106661,,90.5,2011,,,,0
2011-07-01,Q3 2011,1006.138168529818,634.3698244055633,755.3409340709173,613.1832667993918,,85.13333333333334,2011,,,,0
2011-10-01,Q4 2011,1003.1242771217588,621.1869626085257,739.0452981570618,598.0437179993605,,80.36666666666666,2011,,,,0
2012-01-01,Q1 2012,985.229575601581,611.9386935914199,736.31588308557,586.7881538199291,,76.73333333333333,2012,,,,0
2012-04-01,Q2 2012,1005.1325332627248,615.0060490577216,743.1955617186975,588.5511614706094,,75.0,2012,,,,0
2012-07-01,Q3 2012,1026.4635077861863,636.9123854351643,752.2029859332962,617.4906077720975,,75.86666666666666,2012,,,,0
2012-10-01,Q4 2012,1025.4375573391196,621.8084602681726,740.9693160716959,598.6420608389177,,76.5,2012,,,,0
2013-01-01,Q1 2013,1022.3658545251,613.7772661521059,746.7565404626913,588.5511614706093,,74.33333333333333,2013,,,,0
2013-04-01,Q2 2013,1050.3457615838693,613.1637956723163,743.5672524144871,588.5511614706093,,74.33333333333333,2013,,,,0
